file,speaker,task
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_mi_16kHz.wav,G_1997_M_17,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_rf_16kHz.wav,G_1997_M_17,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_ri_16kHz.wav,G_1997_M_17,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_sc_16kHz.wav,G_1997_M_17,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_sp_16kHz.wav,G_1997_M_17,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_st_16kHz.wav,G_1997_M_17,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_mf_16kHz.wav,G_1997_M_29,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_mi_16kHz.wav,G_1997_M_29,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_rf_16kHz.wav,G_1997_M_29,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_ri_16kHz.wav,G_1997_M_29,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_sc_16kHz.wav,G_1997_M_29,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_sp_16kHz.wav,G_1997_M_29,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_29/G_1997_M_29_st_16kHz.wav,G_1997_M_29,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_mf_16kHz.wav,G_1998_F_06,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_mi_16kHz.wav,G_1998_F_06,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_rf_16kHz.wav,G_1998_F_06,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_ri_16kHz.wav,G_1998_F_06,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_sc_16kHz.wav,G_1998_F_06,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_sp_16kHz.wav,G_1998_F_06,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_06/G_1998_F_06_st_16kHz.wav,G_1998_F_06,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_mf_16kHz.wav,G_1998_F_09,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_mi_16kHz.wav,G_1998_F_09,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_rf_16kHz.wav,G_1998_F_09,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_ri_16kHz.wav,G_1998_F_09,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_sc_16kHz.wav,G_1998_F_09,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_sp_16kHz.wav,G_1998_F_09,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_F_09/G_1998_F_09_st_16kHz.wav,G_1998_F_09,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_mf_16kHz.wav,G_1998_M_04,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_mi_16kHz.wav,G_1998_M_04,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_rf_16kHz.wav,G_1998_M_04,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_ri_16kHz.wav,G_1998_M_04,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_sc_16kHz.wav,G_1998_M_04,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_sp_16kHz.wav,G_1998_M_04,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1998_M_04/G_1998_M_04_st_16kHz.wav,G_1998_M_04,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_mf_16kHz.wav,G_1999_F_03,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_mi_16kHz.wav,G_1999_F_03,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_rf_16kHz.wav,G_1999_F_03,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_ri_16kHz.wav,G_1999_F_03,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_sc_16kHz.wav,G_1999_F_03,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_sp_16kHz.wav,G_1999_F_03,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_03/G_1999_F_03_st_16kHz.wav,G_1999_F_03,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_mf_16kHz.wav,G_1999_F_10,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_mi_16kHz.wav,G_1999_F_10,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_rf_16kHz.wav,G_1999_F_10,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_ri_16kHz.wav,G_1999_F_10,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_sc_16kHz.wav,G_1999_F_10,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_sp_16kHz.wav,G_1999_F_10,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1999_F_10/G_1999_F_10_st_16kHz.wav,G_1999_F_10,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_mf_16kHz.wav,G_2000_M_21,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_mi_16kHz.wav,G_2000_M_21,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_rf_16kHz.wav,G_2000_M_21,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_ri_16kHz.wav,G_2000_M_21,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_sc_16kHz.wav,G_2000_M_21,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_sp_16kHz.wav,G_2000_M_21,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_21/G_2000_M_21_st_16kHz.wav,G_2000_M_21,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_mf_16kHz.wav,G_2000_M_27,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_mi_16kHz.wav,G_2000_M_27,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_rf_16kHz.wav,G_2000_M_27,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_ri_16kHz.wav,G_2000_M_27,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_sc_16kHz.wav,G_2000_M_27,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_sp_16kHz.wav,G_2000_M_27,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2000_M_27/G_2000_M_27_st_16kHz.wav,G_2000_M_27,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_mf_16kHz.wav,G_2001_F_12,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_mi_16kHz.wav,G_2001_F_12,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_rf_16kHz.wav,G_2001_F_12,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_ri_16kHz.wav,G_2001_F_12,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_sc_16kHz.wav,G_2001_F_12,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_sp_16kHz.wav,G_2001_F_12,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_12/G_2001_F_12_st_16kHz.wav,G_2001_F_12,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_mf_16kHz.wav,G_2001_F_28,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_mi_16kHz.wav,G_2001_F_28,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_rf_16kHz.wav,G_2001_F_28,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_ri_16kHz.wav,G_2001_F_28,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_sc_16kHz.wav,G_2001_F_28,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_sp_16kHz.wav,G_2001_F_28,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_F_28/G_2001_F_28_st_16kHz.wav,G_2001_F_28,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_mf_16kHz.wav,G_2001_M_14,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_mi_16kHz.wav,G_2001_M_14,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_rf_16kHz.wav,G_2001_M_14,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_ri_16kHz.wav,G_2001_M_14,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_sc_16kHz.wav,G_2001_M_14,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_sp_16kHz.wav,G_2001_M_14,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2001_M_14/G_2001_M_14_st_16kHz.wav,G_2001_M_14,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_mf_16kHz.wav,G_2002_F_01,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_mi_16kHz.wav,G_2002_F_01,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_rf_16kHz.wav,G_2002_F_01,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_ri_16kHz.wav,G_2002_F_01,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_sc_16kHz.wav,G_2002_F_01,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_sp_16kHz.wav,G_2002_F_01,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_01/G_2002_F_01_st_16kHz.wav,G_2002_F_01,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_mf_16kHz.wav,G_2002_F_02,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_mi_16kHz.wav,G_2002_F_02,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_rf_16kHz.wav,G_2002_F_02,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_ri_16kHz.wav,G_2002_F_02,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_sc_16kHz.wav,G_2002_F_02,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_sp_16kHz.wav,G_2002_F_02,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_02/G_2002_F_02_st_16kHz.wav,G_2002_F_02,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_mf_16kHz.wav,G_2002_F_16,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_mi_16kHz.wav,G_2002_F_16,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_rf_16kHz.wav,G_2002_F_16,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_ri_16kHz.wav,G_2002_F_16,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_sc_16kHz.wav,G_2002_F_16,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_sp_16kHz.wav,G_2002_F_16,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_F_16/G_2002_F_16_st_16kHz.wav,G_2002_F_16,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_mf_16kHz.wav,G_2002_M_18,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_mi_16kHz.wav,G_2002_M_18,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_rf_16kHz.wav,G_2002_M_18,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_ri_16kHz.wav,G_2002_M_18,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_sc_16kHz.wav,G_2002_M_18,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_sp_16kHz.wav,G_2002_M_18,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_18/G_2002_M_18_st_16kHz.wav,G_2002_M_18,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_mf_16kHz.wav,G_2002_M_20,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_mi_16kHz.wav,G_2002_M_20,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_rf_16kHz.wav,G_2002_M_20,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_ri_16kHz.wav,G_2002_M_20,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_sc_16kHz.wav,G_2002_M_20,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_sp_16kHz.wav,G_2002_M_20,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2002_M_20/G_2002_M_20_st_16kHz.wav,G_2002_M_20,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_mf_16kHz.wav,G_2003_F_08,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_mi_16kHz.wav,G_2003_F_08,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_rf_16kHz.wav,G_2003_F_08,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_ri_16kHz.wav,G_2003_F_08,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_sc_16kHz.wav,G_2003_F_08,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_sp_16kHz.wav,G_2003_F_08,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_08/G_2003_F_08_st_16kHz.wav,G_2003_F_08,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_mf_16kHz.wav,G_2003_F_11,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_mi_16kHz.wav,G_2003_F_11,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_rf_16kHz.wav,G_2003_F_11,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_ri_16kHz.wav,G_2003_F_11,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_sc_16kHz.wav,G_2003_F_11,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_sp_16kHz.wav,G_2003_F_11,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_11/G_2003_F_11_st_16kHz.wav,G_2003_F_11,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_mf_16kHz.wav,G_2003_F_15,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_mi_16kHz.wav,G_2003_F_15,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_rf_16kHz.wav,G_2003_F_15,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_ri_16kHz.wav,G_2003_F_15,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_sc_16kHz.wav,G_2003_F_15,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_sp_16kHz.wav,G_2003_F_15,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_F_15/G_2003_F_15_st_16kHz.wav,G_2003_F_15,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_mf_16kHz.wav,G_2003_M_07,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_mi_16kHz.wav,G_2003_M_07,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_rf_16kHz.wav,G_2003_M_07,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_ri_16kHz.wav,G_2003_M_07,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_sc_16kHz.wav,G_2003_M_07,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_sp_16kHz.wav,G_2003_M_07,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_07/G_2003_M_07_st_16kHz.wav,G_2003_M_07,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_mf_16kHz.wav,G_2003_M_25,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_mi_16kHz.wav,G_2003_M_25,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_rf_16kHz.wav,G_2003_M_25,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_ri_16kHz.wav,G_2003_M_25,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_sc_16kHz.wav,G_2003_M_25,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_sp_16kHz.wav,G_2003_M_25,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2003_M_25/G_2003_M_25_st_16kHz.wav,G_2003_M_25,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_mf_16kHz.wav,G_2004_M_05,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_mi_16kHz.wav,G_2004_M_05,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_rf_16kHz.wav,G_2004_M_05,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_ri_16kHz.wav,G_2004_M_05,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_sc_16kHz.wav,G_2004_M_05,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_sp_16kHz.wav,G_2004_M_05,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_05/G_2004_M_05_st_16kHz.wav,G_2004_M_05,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_mf_16kHz.wav,G_2004_M_23,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_mi_16kHz.wav,G_2004_M_23,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_rf_16kHz.wav,G_2004_M_23,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_ri_16kHz.wav,G_2004_M_23,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_sc_16kHz.wav,G_2004_M_23,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_sp_16kHz.wav,G_2004_M_23,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_23/G_2004_M_23_st_16kHz.wav,G_2004_M_23,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_mf_16kHz.wav,G_2004_M_24,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_mi_16kHz.wav,G_2004_M_24,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_rf_16kHz.wav,G_2004_M_24,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_ri_16kHz.wav,G_2004_M_24,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_sc_16kHz.wav,G_2004_M_24,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_sp_16kHz.wav,G_2004_M_24,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2004_M_24/G_2004_M_24_st_16kHz.wav,G_2004_M_24,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2005_F_30/G_2005_F_30_mf_16kHz.wav,G_2005_F_30,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2005_F_30/G_2005_F_30_mi_16kHz.wav,G_2005_F_30,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_2005_F_30/G_2005_F_30_rf_16kHz.wav,G_2005_F_30,r(f)
